index,prompt,inappropriate,sensitive
1,Today_comma_as i was leaving for work in the morning_comma_i had a tire burst in the middle of a busy road. That scared the hell out of me!,FALSE,FALSE
2,I was walking through my hallway a few week ago_comma_ and my son was hiding under the table and grabbed my ankle. I thought i was got.,FALSE,FALSE
3,I'm overly excited today because will be flying outside the country for the first time tomorrow.,FALSE,FALSE
4,I was holding my son over my head_comma_ playing with him. A few seconds after doing so_comma_ a gush of throw up hit me in the face.,FALSE,FALSE
5,I felt caring when i helped an elderly lady carry her bags to her door.  She was struggling to carry some heavy bags and i offered her help.,FALSE,FALSE
6,I had just moved to Texas and my boyfriend took me to Kemah boardwalk. It made me think of times I spent vacationing back home.,FALSE,FALSE
7,When my dog died_comma_ I felt lost. I also felt like I just let him live when I should have put him down due to his health.,TRUE,TRUE
8,I locked my keys in my car about a week ago. It was 95 degrees outside and I was at the store getting groceries.,FALSE,FALSE
9,I felt a bit terrified when i was hit by a drunk driver last year but i am very grateful to be alive to today,TRUE,TRUE
10,I was very happy about a time when i saw an elderly lady being helped by a younger male _comma_ its nice to see people still helping others now days.,FALSE,FALSE
11,I was very happy when my grandmother gave me a scooter,FALSE,FALSE
12,When my current girlfriend said yes to dating me.,FALSE,FALSE
13,I was very happy to get my new job,FALSE,FALSE
14,When my friends deck was finished being built it was very nice.,FALSE,FALSE
15,My girlfriend came up behind me without making any noise.,FALSE,FALSE
16,Created a program at work.,FALSE,FALSE
17,When my dad had cancer and they gave him the all clear.,TRUE,TRUE
18,I'm doing everything I can to stay true to my girlfriend during a hard time.,FALSE,FALSE
19,My grandmother gave me a rock.,FALSE,FALSE
20,I got to a really high level in a video game.,FALSE,FALSE
21,I haven't seen my girlfriend in a few days.,FALSE,FALSE
22,I was working with my daughter teaching her some things. I pointed to something and she actually knew what it was when we had never discussed it before.,FALSE,FALSE
23,I recently went surfing and surfed waves everyone else was afraid to. I was the man_comma_,FALSE,FALSE
24,After my 4th child was born_comma_ I had friends sign up to bring dinner for us for 2 weeks. I had a c section and was really limited in what I was able to do_comma_ so I was very grateful.,FALSE,FALSE
25,I was proud of the painting I did,FALSE,FALSE
26,I was driving home from work and some jerk cut me off. I can't believe that.,FALSE,TRUE
27,I was super stoked when I saw my first paycheck from my new job!,FALSE,FALSE
