,prompt,inappropriate,sensitive
1,Robin went to Las Vegas and risked her husbands entire savings account on the roulette table.,FALSE,FALSE
2,Jordan produced a lot of money annually. Always being able to pay his bills on time.,FALSE,FALSE
3,"Cameron and Taylor were tossing up ice cubes and trying to catch them with their mouths, Cameron caught one.",FALSE,FALSE
4,Cameron brought their family to his play. They were so excited to see him act.,FALSE,FALSE
5,Taylor looked behind Jan to see if there was a rip in Jan's clothes like there was in the front of their clothes.,FALSE,FALSE
6,"Kendall couldn't afford a regular cable bill, so they often went to Sasha's house for TV. This month, Sasha wasn't able to pay their bill so Kendall covered it.",FALSE,FALSE
7,Riley is throwing a surprise party for their boss. Riley sends out an email to all the employees devising a plan and asking they keep the secret.,FALSE,FALSE
8,Tracy went to a party with Lee's friends and had a great time with the crew.,FALSE,FALSE
9,Robin and Tracy went to school together. Robin helped Tracy study.,FALSE,FALSE
10,Taylor chased the ball into the street and just barely avoided being hit by a truck.,FALSE,TRUE
11,"Lee was practicing to be a clown. They really wanted to do balloon animals, so Lee got a balloon to practice with.",FALSE,FALSE
12,Jesse was hungry and didn't have time to go shopping for himself. Jesse ate Bailey's food that was in the fridge.,FALSE,FALSE
13,"Austin had been practicing the sport constantly, and Austin finally beat their dad in basketball.",FALSE,FALSE
14,Taylor learnt Japanese to go on her trip to Tokyo where she wants to eat alot of sushi.,FALSE,FALSE
15,Austin made sanwiches for lunch so that they would not have to stop at a restaurant.,FALSE,FALSE
16,Sasha only speaks Spanish. Quinn knows how to speak Spanish.,FALSE,FALSE
17,"While sitting on the couch, Lee took Casey's red shoes off one at a time.",FALSE,FALSE
18,Remy was coming to town to visit his friend Austin. Austin was so excited that he could not sleep.,FALSE,FALSE
19,Ash set down on shore and made sure the boat was tied up properly and securely.,FALSE,FALSE
20,"Jan was literally dying of thirst, so Addison filled Jan's mouth with water.",FALSE,TRUE
21,Jan teaches a soccer class to children. Every student is tested on how well they can kick a goal. The children performed the task well.,FALSE,FALSE
22,Remy offered to help them pack and prepare for their big move to the new house.,FALSE,FALSE
23,Business has been booming at Jordan's job. Because of this Jordan has to work more hours than normal.,FALSE,FALSE
24,Sydney was in desperate need for money so she took a job as a cropper on a local farm.,FALSE,FALSE
25,"Sydney is a meter maid, and just wrote a ticket.",FALSE,FALSE
26,"Carson decided to try to become a model with a well known, internationally recognized agency.",FALSE,FALSE
27,Sydney made it special for him and he really appreciated all the effort that was put in.,FALSE,FALSE
28,Jan cooked Lee's favorite meal to celebrate his promotion. Lee looked at Jan with a smile.,FALSE,FALSE
29,Ash's friend got in some trouble driving their car. Ash let their friend off with a warning.,FALSE,FALSE
30,"Looking to spend some time with nature, Riley spent a night in the woods.",FALSE,FALSE
31,Bailey needed a lawyer after she was cheated. Taylor became Bailey's advocate.,FALSE,TRUE
32,Ash cannot go home for dinner.  Casey delivered Ash's message to her mother.,FALSE,FALSE
33,Lee's brother was sent to jail for robbery.  All the family shunned them except Lee who went to visit their brother every week.,FALSE,TRUE
34,Bailey told Kendall they were done when they got to the last question of the assignment.,FALSE,FALSE
35,Carson takes the children to the beach. When Carson isn't looking the child buries Carson's keys in the sand.,FALSE,FALSE
36,Kendall improved Kai's lot in life by getting him set up with a job and an apartment.,FALSE,FALSE
37,"Sydney needed a new car, so the hunkered down and saved money for a down payment.",FALSE,FALSE
38,Bailey made Jan's mom a scarf. It was a thoughtful and original gift.,FALSE,FALSE
39,"They'd had a wonderful date, but now Casey wondered if Kai would leave. Then Kai took food home with Casey and brought his duffel bag in.",FALSE,FALSE
40,Remy got a new car for her birthday so she took her friend to school in it.,FALSE,FALSE
41,"Taylor was single for a long time, then they finally started a relationship.",FALSE,FALSE
42,Riley gave Casey a report that they wrote about the importance of cleaning the streets of trash.,FALSE,FALSE
43,Addison committed every sin and their family was convinced that they would go to hell as a result.,FALSE,TRUE
44,"Sasha told Quinn the place where they should to meet up to eat, but Quinn never show up.",FALSE,FALSE
45,Bailey made every deposit from alex and the deposits earned a lot of money on the stock market.,FALSE,FALSE
46,Cameron asked Skylar to come to the dance with them. Skylar let Cameron down gently.,FALSE,FALSE
47,"When all the towels were handed out, Ash accidentally got Cameron's towel.",FALSE,FALSE
48,Taylor was a GP in a small village and knew everyone well so went a patient came in looking very sad Taylor knew they needed to improve the patient's mood.,FALSE,FALSE
49,Jordan reproduced his idea in this book so that he could keep track of it forever.,FALSE,FALSE
50,Jordan left my wallet at home.  I asked Jordan to carry my wallet in their bag.,FALSE,FALSE
51,"Lee had to run to the bathroom during a game with friends, so Tracy commanded Lee's army.",FALSE,FALSE
52,Taylor put the pillow behind Skylar so that Skylar could try to relax and take a nap.,FALSE,FALSE
53,taylor looked hotels up online for their friends so the trip could be planned in advance.,FALSE,FALSE
54,Taylor didn't want the officer to have their last name so Taylor used Jordan's last name.,FALSE,FALSE
55,Jesse got bad grades. Jesse´s mom is always complaining about Jesse and the fact that she never wants to study. Jesse just likes to play around.,FALSE,FALSE
56,Kendall was helping a patient at the nursing home. Kendall stretched lee's legs.,FALSE,FALSE
57,Skylar took the kids to the pizza parlor and arcade and let them wear themselves out.,FALSE,FALSE
58,Lee told the man that he did not want to go to the ocean due to a sunburn.,FALSE,FALSE
59,Quinn put garbage in the trash compactor. They presses a button to flatten the trash.,FALSE,FALSE
60,"Tracy took the garbage out on the day of trash collection as a favor to their boss, because it had started to stink.",FALSE,FALSE
61,Kai reminded Sydney of something that they forgot to buy when they were at the store.,FALSE,FALSE
62,"Taylor improved the patient's condition by helping them with diet, exercise, and herbal supplements.",FALSE,FALSE
63,Austin found rocks in his yard and used them to make a pattern in the grass.,FALSE,FALSE
64,Jordan and Jan got into an argument. Jordan swung at Jan and punch their teeth.,TRUE,FALSE
65,Sasha and others noticed Bob didnt have money for lunch. Sasha gave Bob some french fries.,FALSE,FALSE
66,"Bailey was unaware until someone told him, but Bailey smelled really bad.",FALSE,TRUE
67,Carson added the number to the list because the line was too long to remember each person.,FALSE,FALSE
68,"Alex was trying to impress his friends around a campfire, but caught fire.",TRUE,FALSE
69,Remy and Jesse are rock climbing when Jesse looses their grip. Remy grabs Jesse's hand at the last moment.,FALSE,TRUE
70,Ash reconciled the answer unto himself after he had been struggling with figuring out what was wrong.,FALSE,FALSE
71,Aubrey needs to bake a cake. Aubrey made a trip to the store.,FALSE,FALSE
72,"Sydney was volunteering to build a house, and they did an excellent job yesterday.",FALSE,FALSE
73,Taylor got the note back with sensitive material and thought that it probably should be destroyed.,FALSE,FALSE
74,Riley treated her employees to  a delicous dinner at a fancy restaurant after a hard day at work.,FALSE,FALSE
75,"Tracy is a baby, and Alex is her father. Because Tracy was crying, Alex held her as he swayed back and forth in a rocking chair. Tracy calmed down, and Alex put Tracy to bed.",FALSE,FALSE
76,Kai had some choice words to say but she decided to keep the language in check.,FALSE,FALSE
77,Quinn met a new man who was to be their boss but he totally ignored him.,FALSE,FALSE
78,Taylor put the phrase another way and talked down to everyone so that they would feel stupid.,FALSE,TRUE
79,Jesse ran Alex's fingers over with her bike and Alex was seriously injured as a result.,TRUE,FALSE
80,"Acting as a go between, Carson gave Bailey Kai's opinion, and has given a response to tell Kai.",FALSE,FALSE
81,"Ash and Aubrey wanted to tell their parents the truth about their relationship, so they decided to come out and tell them.",FALSE,FALSE
82,Ash found a picture that she had painted when she was younger. Ash hung the picture.,FALSE,FALSE
83,Aubrey used her imagination. She needed to figure out how the device worked so she could get her work done.,FALSE,FALSE
84,Skylar lost their mind as a result of spending too much time around the other people.,FALSE,TRUE
85,Kai handed back the computer to Will after using it to buy a product off Amazon.,FALSE,FALSE
86,"During the end of year student evaluations, Tracy made the Cameron evaluation great.",FALSE,FALSE
87,Robin put the cart before the horse by buying a house before she had a job.,FALSE,FALSE
88,Taylor told Alex he was going on a trip even though he was going on a date with another woman.,FALSE,FALSE
89,"Austin told lies about cheating, even though their girlfriend knew they'd cheated.",FALSE,TRUE
90,"As the official mathematics tutor of Kendall, Addison always ensures that he provides an efficient answer to all of his student's questions.",FALSE,FALSE
91,"Austin had been fired by their homophobic employer, but Lee defended Austin's rights.",TRUE,TRUE
92,Kai tested the student's scores. She wasn't happy with the work of the students.,FALSE,FALSE
93,Aubrey rushed Kendall to the hospital because she got stung by a bee and she is allergic.,FALSE,FALSE
94,"Alex was arguing with a friend, but then saw he was wrong and saw eye to eye with the friend.",FALSE,FALSE
95,"Seeing that there was an opportunity to be had, Jordan quickly took a shot.",FALSE,FALSE
96,A couple of people were late for the meeting but Alex got the meeting underway anyway.,FALSE,FALSE
97,"Robin knew that Kai really wanted her to the like her outfit so when Kai asked her opinion, Robin said she loved it.",FALSE,FALSE
98,Remy forgot to study for the test last night. Remy expressed her regret loudly.,FALSE,FALSE
99,Sydney turned Jordan's face away from the wreck so Jordan wouldn't have nightmares the rest of their life.,FALSE,TRUE
100,"The books were old and falling apart, so Addison bound the books together to keep them stable.",FALSE,FALSE
101,Aubrey provided Ash and overview of what they were doing so they could start on the work.,FALSE,FALSE
102,Remy ask Jan to clean up the mess of toys. Jan does it without being asked again.,FALSE,FALSE
103,Robin's alarm didn't go off that morning. Robin was running late to work as a result.,FALSE,FALSE
104,"Casey is leaving his apartment, and came to get his laundry before moving out.",FALSE,FALSE
105,Aubrey sat at a table waiting for service for 45 minutes. She eventually left.,FALSE,FALSE
106,"Syndey ate their parents, the mother made a wonderful meal for them.",TRUE,FALSE
107,Aubrey asked Skylar to be their wife and wants to plan a fancy wedding for June.,FALSE,FALSE
108,Casey was going through a divorce and needed some legal advice. Casey hired an attorney named Aubrey.,FALSE,TRUE
109,"Since they were hungry and hadn't had breakfast, for lunch, Addison ate some tacos.",FALSE,FALSE
110,Riley had just moved to a new town and had to find the many stores in town.,FALSE,FALSE
111,It was a tense and uncomfortable meeting but Austin broke the ice by telling a joke.,FALSE,FALSE
112,Aubrey asked the girl to move out of the way so that they could pass by.,FALSE,FALSE
113,Skylar ate lunch with their family every sunday after church and then go back home with his dogs.,FALSE,FALSE
114,"Jordan saw that Casey's face was bruised again, despite her efforts to hide it.",TRUE,FALSE
115,It was a really hot day. Quinn decided to put his suit on and jump right into the pool.,FALSE,FALSE
116,"Even though there was a big storm, Remy threw a dinner party.",FALSE,FALSE
117,After years of wanting to be a parent Taylor discovered there was a way to contribute to the well being of children. So Taylor provided a foster home for children.,FALSE,FALSE
118,Skylar robbed a bank but was caught and later shot and killed when trying to escape.,TRUE,FALSE
119,Tracy worked very hard to pay off her own bills. Tracy became tired later.,FALSE,FALSE
120,"Even though Jordan had cheated in the past, Ash continued to love her well and often.",FALSE,FALSE
121,"Casey and Skylar are playing a murder mystery game. Casey draws Skylar's attention who is likely the murderer, Skylar already knows the murder weapon.",TRUE,TRUE
122,Kendall prevented Sydney's attempt to leave because she didn't want her to go away for a longtime.,FALSE,FALSE
123,"Robin was mad at someone from work, and she lost her cool.",FALSE,TRUE
124,"Jesse had made breakfast for two that morning, so when Sydney woke up, Sydney ate Jesse´s breakfast.",FALSE,FALSE
125,Aubrey educated their children to not be bullies and to stand up to bullying if they saw it.,FALSE,TRUE
